"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-01","54","61","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-02","53","62","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-03","48","69","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-04","45","61","33"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-05","50","65","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-06","55","65","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-07","54","65","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-08","54","77","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-09","52","75","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-10","58","66","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-11","59","67","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-12","55","68","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-13","54","77","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-14","54","78","36"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-15","57","77","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-16","52","64","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-17","46","61","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-18","48","63","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-19","46","58","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-20","44","65","31"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-21","42","56","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-22","35","49","28"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-23","38","57","24"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-24","41","58","29"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-25","42","59","30"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-26","41","57","26"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-27","46","60","31"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-28","47","60","36"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-29","48","61","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-30","49","64","39"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-01-31","49","58","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-01","49","58","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-02","52","60","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-03","48","52","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-04","52","70","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-05","52","66","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-06","56","67","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-07","62","76","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-08","64","86","49"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-09","57","76","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-10","53","72","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-11","62","74","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-12","63","71","53"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-13","56","68","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-14","55","76","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-15","54","74","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-16","56","72","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-17","52","67","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-18","54","71","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-19","53","59","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-20","53","57","51"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-21","49","54","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-22","42","53","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-23","41","56","31"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-24","44","58","28"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-25","37","45","31"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-26","36","46","25"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-02-29","40","40","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-01","51","61","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-02","52","66","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-03","51","65","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-04","50","59","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-05","49","56","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-06","54","61","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-07","56","67","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-08","59","74","51"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-09","61","80","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-10","54","70","36"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-11","55","65","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-12","52","52","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-13","45","51","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-14","49","61","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-15","53","70","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-16","57","75","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-17","60","82","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-18","61","80","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-19","62","83","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-20","63","84","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-21","61","78","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-22","53","65","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-23","45","57","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-24","47","65","29"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-25","48","65","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-26","54","70","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-27","52","72","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-28","49","60","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-29","48","67","32"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-30","52","73","33"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-03-31","55","76","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-01","52","69","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-02","52","67","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-03","52","70","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-04","60","73","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-05","62","74","49"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-06","63","82","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-07","65","87","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-08","62","83","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-09","53","74","34"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-10","53","68","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-11","57","74","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-12","55","72","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-13","58","73","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-14","60","81","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-15","62","80","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-16","57","67","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-17","56","65","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-18","53","64","40"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-19","54","75","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-20","53","71","37"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-21","54","75","35"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-22","63","83","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-23","69","91","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-24","71","91","49"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-25","74","89","54"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-26","78","99","59"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-27","71","92","56"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-28","71","77","61"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-29","68","83","51"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-04-30","72","94","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-01","72","94","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-02","69","88","50"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-03","67","86","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-04","66","85","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-05","67","86","44"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-06","66","87","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-07","65","84","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-08","64","82","45"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-09","64","82","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-10","71","95","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-11","76","101","54"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-12","75","101","53"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-13","72","91","53"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-14","71","85","55"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-15","64","79","51"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-16","63","70","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-17","66","83","52"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-18","65","81","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-19","62","76","47"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-20","64","83","43"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-21","60","77","48"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-22","62","75","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-23","62","77","42"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-24","54","68","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-25","56","73","38"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-26","62","80","41"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-27","56","67","46"
"USR0000CACT","ACTON CALIFORNIA, CA US","1996-05-28","63","81","43"
